Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000Au6ZCYbN7YrdUsOmbh,15/05/2025,03:03:09,Card payment,Transport for London,🚆,Transport,-15.60,GBP,-15.60,GBP,"Travel charge for Wednesday, 14 May","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-15.60,
tx_0000Au6vj7l88kt7ik1nF4,15/05/2025,07:15:32,Pot transfer,1p Saving Challenge Pot,,Savings,-1.16,GBP,-1.16,GBP,Day 116 of 365,,,,,-1.16,
tx_0000Au76Lk8kt6dNIr8FFJ,15/05/2025,09:14:34,Faster payment,FERREIRA MDSR,,Income,110.00,GBP,110.00,GBP,SPENDING MONEY,,,SPENDING MONEY,,,110.00
tx_0000Au7GRElFSzsBuEj3BK,15/05/2025,11:07:37,Flex,,,Transfers,-53.67,GBP,-53.67,GBP,"Early payment towards PizzaExpress, Amazon and 21 more",,,Flex,,-53.67,
tx_0000Au7GU9S1fKwul4uyUk,15/05/2025,11:08:08,Flex,,,Transfers,-50.00,GBP,-50.00,GBP,Extra payment,,,Flex,,-50.00,
tx_0000Au8yiLYM3c2Ipr74BG,16/05/2025,06:58:26,Pot transfer,1p Saving Challenge Pot,,Savings,-1.17,GBP,-1.17,GBP,Day 117 of 365,,,,,-1.17,
tx_0000AuB4E14ybPXbSb20lW,17/05/2025,07:09:37,Pot transfer,1p Saving Challenge Pot,,Savings,-1.18,GBP,-1.18,GBP,Day 118 of 365,,,,,-1.18,
tx_0000AuD8VDDZVqCQSWpjn8,18/05/2025,07:06:58,Pot transfer,1p Saving Challenge Pot,,Savings,-1.19,GBP,-1.19,GBP,Day 119 of 365,,,,,-1.19,
tx_0000AuDJi87wqkxheIgMdf,18/05/2025,09:12:33,Faster payment,FERREIRA MDSR,,Income,20.00,GBP,20.00,GBP,SPENDING MONEY,,,SPENDING MONEY,,,20.00
tx_0000AuDJzRefV0wPIRNPNJ,18/05/2025,09:15:41,Pot transfer,1p Saving Challenge Pot,,Savings,-1.10,GBP,-1.10,GBP,,,,,,-1.10,
tx_0000AuDYdoQ5g6euOqVuin,18/05/2025,11:59:51,Card payment,M&S,🛍 ,Shopping,-10.90,GBP,-10.90,GBP,,26 Clarence Street,,MARKS&SPENCER PLC      KINGSTON      GBR,,-10.90,
tx_0000AuDZdVrelZqJFQ11hR,18/05/2025,12:11:00,Card payment,Transport for London,🚆,Transport,-12.35,GBP,-12.35,GBP,"Travel charge for Saturday, 17 May",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-12.35,
tx_0000AuF5wGMxzZRNsWesvR,19/05/2025,05:47:39,Card payment,Transport for London,🚆,Transport,-0.10,GBP,-0.10,GBP,,,,TfL Unpaid Fares       TFL.gov.uk/CP GBR,,-0.10,
